,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__max_iter,param_clf__penalty,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
776,0.5033249855041504,0.01069010187464536,0.012957155704498291,0.0012199357228203265,0.13,300,none,newton-cg,"{'clf__C': 0.13, 'clf__max_iter': 300, 'clf__penalty': 'none', 'clf__solver': 'newton-cg'}",0.8120039682539683,0.8118849206349207,0.8035714285714286,0.8066269841269841,0.8085218253968254,0.0035893098439965694,29
449,0.637279748916626,0.006501929465159177,0.009718000888824463,0.0008259894316624526,0.08,200,l2,saga,"{'clf__C': 0.08, 'clf__max_iter': 200, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.8133928571428571,0.8073214285714285,0.8048214285714286,0.8085119047619047,0.8085119047619047,0.003116911300377632,30
69,0.6179433465003967,0.04673128071346589,0.011462867259979248,0.0020563592729358864,0.02,100,l2,saga,"{'clf__C': 0.02, 'clf__max_iter': 100, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.811329365079365,0.8075793650793651,0.8069444444444445,0.8081944444444444,0.8085119047619047,0.0016856323590828794,30
564,0.6918359398841858,0.019458350000202455,0.010707259178161621,0.0008223839704168736,0.09999999999999999,200,l1,saga,"{'clf__C': 0.09999999999999999, 'clf__max_iter': 200, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.809702380952381,0.8098412698412698,0.8075992063492063,0.8067063492063492,0.8084623015873016,0.0013479291924414056,32
775,0.316941499710083,0.005681581622861408,0.012458205223083496,0.0014952423564366611,0.13,300,none,lbfgs,"{'clf__C': 0.13, 'clf__max_iter': 300, 'clf__penalty': 'none', 'clf__solver': 'lbfgs'}",0.8094246031746032,0.8094444444444444,0.8080555555555555,0.8069246031746031,0.8084623015873016,0.001051259682418713,32
295,0.31347185373306274,0.01564257981921698,0.011705636978149414,0.0012992992834605002,0.05,300,none,lbfgs,"{'clf__C': 0.05, 'clf__max_iter': 300, 'clf__penalty': 'none', 'clf__solver': 'lbfgs'}",0.8102777777777778,0.808015873015873,0.8073611111111111,0.8081547619047619,0.8084523809523809,0.001095680121291573,34
2,0.3735235929489136,0.013276780490430113,0.012943804264068604,0.0012326597052602763,0.01,100,l1,liblinear,"{'clf__C': 0.01, 'clf__max_iter': 100, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.8084722222222223,0.8112698412698413,0.8079563492063492,0.8060714285714285,0.8084424603174603,0.0018609852480539534,35
542,0.40667062997817993,0.014164689629509621,0.01245969533920288,0.002053582626299858,0.09999999999999999,100,l1,liblinear,"{'clf__C': 0.09999999999999999, 'clf__max_iter': 100, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.8086904761904762,0.8100793650793651,0.8057936507936508,0.809047619047619,0.8084027777777778,0.001590367822164319,36
584,0.6715400815010071,0.029162798100375944,0.009716928005218506,0.0014747319141096512,0.09999999999999999,300,l1,saga,"{'clf__C': 0.09999999999999999, 'clf__max_iter': 300, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8117857142857143,0.809265873015873,0.8048412698412698,0.8076587301587301,0.8083878968253968,0.002521222554486088,37
26,0.5174100399017334,0.018461369784191026,0.01370471715927124,0.0008261678245640257,0.01,200,l2,newton-cg,"{'clf__C': 0.01, 'clf__max_iter': 200, 'clf__penalty': 'l2', 'clf__solver': 'newton-cg'}",0.8108730158730159,0.8100992063492064,0.8068055555555556,0.8057539682539683,0.8083829365079366,0.0021532349013608323,38
466,0.5095621347427368,0.019561231437357413,0.012209177017211914,0.001086172548673924,0.08,300,l2,newton-cg,"{'clf__C': 0.08, 'clf__max_iter': 300, 'clf__penalty': 'l2', 'clf__solver': 'newton-cg'}",0.8120833333333334,0.8093452380952381,0.8063690476190476,0.8055952380952381,0.8083482142857142,0.0025710479077808595,39
468,0.7025566697120667,0.02919749580742689,0.010713458061218262,0.0014752464002090676,0.08,300,l2,sag,"{'clf__C': 0.08, 'clf__max_iter': 300, 'clf__penalty': 'l2', 'clf__solver': 'sag'}",0.8126785714285715,0.8090873015873016,0.8056944444444445,0.8058730158730159,0.8083333333333333,0.002848967304381745,40
48,0.5716136693954468,0.010161927658056508,0.010464906692504883,0.0011143810507575245,0.01,300,l2,sag,"{'clf__C': 0.01, 'clf__max_iter': 300, 'clf__penalty': 'l2', 'clf__solver': 'sag'}",0.8104166666666667,0.8092063492063492,0.8053769841269841,0.808234126984127,0.8083085317460317,0.0018607670828847177,41
409,0.589527428150177,0.01830296748483314,0.009219110012054443,0.0008264183525225752,0.06999999999999999,300,l2,saga,"{'clf__C': 0.06999999999999999, 'clf__max_iter': 300, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.8113888888888889,0.8091865079365079,0.806031746031746,0.806468253968254,0.8082688492063492,0.002169303977715564,42
235,0.32182276248931885,0.011457454671155689,0.011445760726928711,0.0015003833390359032,0.04,300,none,lbfgs,"{'clf__C': 0.04, 'clf__max_iter': 300, 'clf__penalty': 'none', 'clf__solver': 'lbfgs'}",0.8091468253968254,0.8094642857142857,0.8063095238095238,0.8081547619047619,0.8082688492063492,0.0012300287149675628,42
515,0.32765358686447144,0.004475654890087046,0.012707233428955078,0.0010852430185796628,0.09,200,none,lbfgs,"{'clf__C': 0.09, 'clf__max_iter': 200, 'clf__penalty': 'none', 'clf__solver': 'lbfgs'}",0.8109126984126984,0.8081349206349207,0.8051388888888888,0.8088293650793651,0.8082539682539682,0.0020686843252392634,44
659,0.6409603953361511,0.014012109866344769,0.01046597957611084,0.001116999013672831,0.11,300,none,saga,"{'clf__C': 0.11, 'clf__max_iter': 300, 'clf__penalty': 'none', 'clf__solver': 'saga'}",0.8120039682539683,0.8071428571428572,0.807063492063492,0.8066666666666666,0.808219246031746,0.002192544484127478,45
124,0.6832676529884338,0.031340743869544524,0.011210501194000244,0.0008286332705405641,0.03,100,l1,saga,"{'clf__C': 0.03, 'clf__max_iter': 100, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8102579365079365,0.8102777777777778,0.8064484126984127,0.8058134920634921,0.8081994047619048,0.002080609282961889,46
125,0.35621434450149536,0.01113511839977222,0.014341294765472412,0.0009699471939070409,0.03,100,l2,lbfgs,"{'clf__C': 0.03, 'clf__max_iter': 100, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.8125793650793651,0.808670634920635,0.8046428571428571,0.806765873015873,0.8081646825396825,0.0029199885251313326,47
184,0.6850574016571045,0.02307321394157796,0.009219646453857422,0.00043153726593550345,0.04,100,l1,saga,"{'clf__C': 0.04, 'clf__max_iter': 100, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8135714285714286,0.8094444444444444,0.8060119047619048,0.8035714285714286,0.8081498015873017,0.003761723062343935,48
484,0.6826221942901611,0.020050611312136882,0.009966611862182617,0.0007047796159218281,0.09,100,l1,saga,"{'clf__C': 0.09, 'clf__max_iter': 100, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8120833333333334,0.810218253968254,0.8033730158730159,0.8069047619047619,0.8081448412698413,0.0033211020159584297,49
