,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__max_depth,param_clf__min_child_weight,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
48,14.538350522518158,0.474893388658879,0.0877942442893982,0.01877471050493026,0.6,6,7,0.8,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 6, 'clf__min_child_weight': 7, 'clf__subsample': 0.8}",0.8821230158730159,0.8832539682539683,0.8856349206349207,0.8836309523809524,0.8836607142857144,0.0012677080916932441,63
53,11.877865672111511,0.6044908480067439,0.07548350095748901,0.011827620485637697,0.6,6,8,0.95,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 6, 'clf__min_child_weight': 8, 'clf__subsample': 0.95}",0.8818055555555555,0.8833333333333333,0.8861111111111111,0.8833333333333333,0.8836458333333334,0.0015539891667083515,64
34,53.932853281497955,4.509572809343206,0.09507811069488525,0.008229913950915716,0.5,9,8,0.9,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 9, 'clf__min_child_weight': 8, 'clf__subsample': 0.9}",0.8827380952380952,0.8843253968253968,0.8845039682539683,0.8829960317460317,0.8836408730158729,0.0007817183340512804,65
64,10.957407236099243,0.08423848220357107,0.05829733610153198,0.0023070965185101938,0.6,8,6,0.9,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 8, 'clf__min_child_weight': 6, 'clf__subsample': 0.9}",0.8826587301587302,0.8836111111111111,0.8847222222222222,0.8835119047619048,0.8836259920634921,0.0007332382812633724,66
22,35.97907906770706,4.016102077031583,0.1115497350692749,0.02376624766746377,0.5,8,7,0.9,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 8, 'clf__min_child_weight': 7, 'clf__subsample': 0.9}",0.8829563492063492,0.8837103174603175,0.8843849206349207,0.8834325396825397,0.8836210317460317,0.0005169212488140205,67
47,12.961763739585876,1.6815300632575936,0.06804859638214111,0.006789714511278275,0.6,6,6,0.95,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 6, 'clf__min_child_weight': 6, 'clf__subsample': 0.95}",0.884265873015873,0.8839880952380952,0.8852777777777778,0.8809126984126984,0.883611111111111,0.0016301870331850309,68
70,10.19995105266571,0.20655699382092207,0.06625127792358398,0.011806124627341406,0.6,8,8,0.9,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 8, 'clf__min_child_weight': 8, 'clf__subsample': 0.9}",0.8831746031746032,0.8827777777777778,0.8850793650793651,0.8832738095238095,0.883576388888889,0.0008873701550515062,69
31,53.54436695575714,2.3967694906529626,0.11682730913162231,0.025186633997737753,0.5,9,7,0.9,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 9, 'clf__min_child_weight': 7, 'clf__subsample': 0.9}",0.8825992063492063,0.8830555555555556,0.8847619047619047,0.8837103174603175,0.883531746031746,0.0008126447387409726,70
108,11.453337371349335,0.29858282939000896,0.07026326656341553,0.019078641689850684,0.7,8,6,0.8,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 8, 'clf__min_child_weight': 6, 'clf__subsample': 0.8}",0.882797619047619,0.8828571428571429,0.8847619047619047,0.8836706349206349,0.8835218253968253,0.000794704162072539,71
98,5.307651937007904,0.09924411982373428,0.04385417699813843,0.0036622078702539256,0.7,6,8,0.95,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 6, 'clf__min_child_weight': 8, 'clf__subsample': 0.95}",0.881547619047619,0.8833928571428571,0.886468253968254,0.8826388888888889,0.8835119047619047,0.0018285751315824795,72
30,55.0511816740036,4.617005148113027,0.10741347074508667,0.023947460795838735,0.5,9,7,0.8,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 9, 'clf__min_child_weight': 7, 'clf__subsample': 0.8}",0.8825793650793651,0.8825595238095238,0.8854761904761905,0.8832539682539683,0.883467261904762,0.001193067203541705,73
93,5.3155677318573,0.06475341427540857,0.042949676513671875,0.0016405620281778424,0.7,6,7,0.8,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 6, 'clf__min_child_weight': 7, 'clf__subsample': 0.8}",0.8804166666666666,0.8843849206349207,0.8850595238095238,0.8839285714285714,0.8834474206349205,0.0017954636307848091,74
45,13.17117154598236,1.6861110837441127,0.0889519453048706,0.010834351455288342,0.6,6,6,0.8,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 6, 'clf__min_child_weight': 6, 'clf__subsample': 0.8}",0.8833531746031746,0.8840079365079365,0.8828373015873016,0.8835515873015873,0.8834375000000001,0.0004200483987369116,75
29,59.02151560783386,4.365194478009094,0.10076653957366943,0.013662445917457397,0.5,9,6,0.95,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 9, 'clf__min_child_weight': 6, 'clf__subsample': 0.95}",0.8829563492063492,0.88375,0.8834722222222222,0.8835714285714286,0.8834375,0.0002950867801137991,76
94,5.267759025096893,0.0933713699122926,0.04873925447463989,0.010458573437422576,0.7,6,7,0.9,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 6, 'clf__min_child_weight': 7, 'clf__subsample': 0.9}",0.8845039682539683,0.883234126984127,0.8838888888888888,0.8821031746031746,0.8834325396825397,0.0008892121365197203,77
7,6.185286819934845,1.0019861210566354,0.05307269096374512,0.015219364648198546,0.5,6,8,0.9,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 6, 'clf__min_child_weight': 8, 'clf__subsample': 0.9}",0.8818849206349206,0.8836111111111111,0.8861904761904762,0.8820238095238095,0.8834275793650793,0.0017333240100009433,78
74,14.523851335048676,0.14894657690860122,0.07008463144302368,0.00421120734121428,0.6,9,6,0.95,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 9, 'clf__min_child_weight': 6, 'clf__subsample': 0.95}",0.8822619047619048,0.8840873015873015,0.8848611111111111,0.8823611111111112,0.8833928571428571,0.0011159722178126269,79
124,13.822273254394531,0.18247866015179498,0.05981087684631348,0.004273506009726634,0.7,9,8,0.9,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 9, 'clf__min_child_weight': 8, 'clf__subsample': 0.9}",0.8822023809523809,0.8839880952380952,0.8840476190476191,0.8831349206349206,0.883343253968254,0.0007511565157216811,80
79,13.821357429027557,0.10446988712768777,0.06689459085464478,0.0043053158517881935,0.6,9,8,0.9,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 9, 'clf__min_child_weight': 8, 'clf__subsample': 0.9}",0.8816269841269841,0.8840079365079365,0.8848412698412699,0.8828373015873016,0.8833283730158731,0.0012131095007495347,81
28,59.27152121067047,4.074060696227432,0.10993242263793945,0.0030316243731673075,0.5,9,6,0.9,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 9, 'clf__min_child_weight': 6, 'clf__subsample': 0.9}",0.8830753968253968,0.8825595238095238,0.8844246031746031,0.8830357142857143,0.8832738095238095,0.0006947278333337723,82
119,14.982089638710022,0.13744313727762628,0.07008248567581177,0.005788981048585726,0.7,9,6,0.95,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 9, 'clf__min_child_weight': 6, 'clf__subsample': 0.95}",0.8831746031746032,0.8827380952380952,0.8837103174603175,0.883452380952381,0.8832688492063492,0.0003602638652364765,83
