,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
378,0.4507092237472534,0.008594366288586102,0.015888214111328125,0.0018983149805172346,12,7,23,"{'clf__max_depth': 12, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 23}",0.801765873015873,0.7837301587301587,0.8146230158730159,0.8292658730158731,0.8073462301587302,0.016750235586981712,380
411,0.45637232065200806,0.007826515213749939,0.01543205976486206,0.0014790247060096156,13,6,16,"{'clf__max_depth': 13, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 16}",0.8169246031746031,0.792718253968254,0.8115079365079365,0.8080753968253969,0.8073065476190477,0.008993999416407033,381
395,0.43082404136657715,0.01619195749942425,0.014699876308441162,0.0008242988592597676,12,9,20,"{'clf__max_depth': 12, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 20}",0.8150595238095238,0.7943055555555556,0.7958531746031746,0.8238095238095238,0.8072569444444444,0.012576292867231399,382
137,0.3878302574157715,0.011571591532998695,0.013970553874969482,0.0014096634974534697,7,8,22,"{'clf__max_depth': 7, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 22}",0.7883928571428571,0.7884920634920635,0.8312301587301587,0.820734126984127,0.8072123015873016,0.01913319123497738,383
300,0.43429166078567505,0.011672305499159196,0.014202594757080078,0.0010860631395819265,11,5,15,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 15}",0.7656150793650793,0.7961706349206349,0.8291468253968254,0.8378769841269841,0.8072023809523808,0.028608097611152006,384
370,0.44278472661972046,0.019470143260512156,0.016806185245513916,0.0018832033731981718,12,7,15,"{'clf__max_depth': 12, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 15}",0.7961507936507937,0.7995436507936508,0.8031944444444444,0.8297023809523809,0.8071478174603174,0.013257972845441274,385
239,0.40303200483322144,0.006608005620883306,0.01576894521713257,0.0009725126920686133,9,8,24,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 24}",0.8057738095238095,0.8425992063492064,0.7703571428571429,0.8089880952380952,0.8069295634920635,0.02557067995203808,386
205,0.4011549949645996,0.0056423476198215914,0.014700531959533691,0.0004311918650421948,9,5,20,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 20}",0.8091865079365079,0.8169246031746031,0.7993253968253968,0.8022420634920635,0.8069196428571428,0.0067968785068828865,387
14,0.34285300970077515,0.009764690865519315,0.012956976890563965,0.0007049482335503371,5,6,19,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 19}",0.7819642857142857,0.7901388888888888,0.7985119047619048,0.856765873015873,0.8068452380952381,0.029409514321523014,388
210,0.40512996912002563,0.01005738783324934,0.0159454345703125,0.001574502803151443,9,6,15,"{'clf__max_depth': 9, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 15}",0.8192658730158731,0.838015873015873,0.8044642857142857,0.7652777777777777,0.8067559523809524,0.02673654548046598,389
304,0.42239052057266235,0.007976544945878197,0.013953626155853271,0.0009968879155157302,11,5,19,"{'clf__max_depth': 11, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 19}",0.825,0.7897222222222222,0.7839484126984126,0.8283333333333334,0.8067509920634921,0.0200546775925363,390
